"sex" "age" "period" "region" "outcome" "cases" "pop"
"263" 1 6 2 3 "Deaths" 5 2375
"264" 2 6 2 3 "Deaths" 4 5010
"265" 1 1 3 3 "Deaths" 17 78092
"266" 2 1 3 3 "Deaths" 19 74678
"267" 1 2 3 3 "Deaths" 5 19126
"268" 2 2 3 3 "Deaths" 6 17797
"269" 1 3 3 3 "Deaths" 5 16091
"270" 2 3 3 3 "Deaths" 4 15209
"271" 1 4 3 3 "Deaths" 5 14300
"272" 2 4 3 3 "Deaths" 4 14489
"273" 1 5 3 3 "Deaths" 7 7288
"274" 2 5 3 3 "Deaths" 5 9729
"275" 1 6 3 3 "Deaths" 5 2542
"276" 2 6 3 3 "Deaths" 5 5424
"277" 1 1 4 3 "Deaths" 19 76029
"278" 2 1 4 3 "Deaths" 18 72782
"279" 1 2 4 3 "Deaths" 4 19528
"280" 2 2 4 3 "Deaths" 5 18296
"281" 1 3 4 3 "Deaths" 6 15870
"282" 2 3 4 3 "Deaths" 4 15061
"283" 1 4 4 3 "Deaths" 10 14941
"284" 2 4 4 3 "Deaths" 6 14968
"285" 1 5 4 3 "Deaths" 6 8001
"286" 2 5 4 3 "Deaths" 4 10441
"287" 1 6 4 3 "Deaths" 4 2709
"288" 2 6 4 3 "Deaths" 4 5838
"289" 1 1 5 3 "Deaths" 16 73919
"290" 2 1 5 3 "Deaths" 16 70651
"291" 1 2 5 3 "Deaths" 4 20081
"292" 2 2 5 3 "Deaths" 4 19026
"293" 1 3 5 3 "Deaths" 4 16427
"294" 2 3 5 3 "Deaths" 4 15557
"295" 1 4 5 3 "Deaths" 4 14795
"296" 2 4 5 3 "Deaths" 5 14790
"297" 1 5 5 3 "Deaths" 5 8784
"298" 2 5 5 3 "Deaths" 4 11229
"299" 1 6 5 3 "Deaths" 4 2976
"300" 2 6 5 3 "Deaths" 5 6288
"301" 1 1 6 3 "Deaths" 17 71771
"302" 2 1 6 3 "Deaths" 17 68467
"303" 1 2 6 3 "Deaths" 4 20691
"304" 2 2 6 3 "Deaths" 4 19852
"305" 1 3 6 3 "Deaths" 4 17239
"306" 2 3 6 3 "Deaths" 5 16285
"307" 1 4 6 3 "Deaths" 7 14381
"308" 2 4 6 3 "Deaths" 5 14390
"309" 1 5 6 3 "Deaths" 6 9570
"310" 2 5 6 3 "Deaths" 6 12047
"311" 1 6 6 3 "Deaths" 6 3276
"312" 2 6 6 3 "Deaths" 4 6760
"313" 1 1 7 3 "Deaths" 16 70099
"314" 2 1 7 3 "Deaths" 18 66717
"315" 1 2 7 3 "Deaths" 5 21403
"316" 2 2 7 3 "Deaths" 4 20718
"317" 1 3 7 3 "Deaths" 4 17994
"318" 2 3 7 3 "Deaths" 6 16972
"319" 1 4 7 3 "Deaths" 8 14058
"320" 2 4 7 3 "Deaths" 5 14106
"321" 1 5 7 3 "Deaths" 7 10312
"322" 2 5 7 3 "Deaths" 8 12764
"323" 1 6 7 3 "Deaths" 4 3616
"324" 2 6 7 3 "Deaths" 4 7292
"361" 1 1 1 4 "Deaths" 17 112658
"362" 2 1 1 4 "Deaths" 17 105807
"363" 1 2 1 4 "Deaths" 4 25340
"364" 2 2 1 4 "Deaths" 5 23173
"365" 1 3 1 4 "Deaths" 6 22502
"366" 2 3 1 4 "Deaths" 5 21756
"367" 1 4 1 4 "Deaths" 4 17819
"368" 2 4 1 4 "Deaths" 8 18880
"369" 1 5 1 4 "Deaths" 5 8607
"370" 2 5 1 4 "Deaths" 7 12526
"371" 1 6 1 4 "Deaths" 4 3029
"372" 2 6 1 4 "Deaths" 4 6201
"373" 1 1 2 4 "Deaths" 18 108908
"374" 2 1 2 4 "Deaths" 16 102483
"375" 1 2 2 4 "Deaths" 6 26401
"376" 2 2 2 4 "Deaths" 4 24066
"377" 1 3 2 4 "Deaths" 5 21810
"378" 2 3 2 4 "Deaths" 6 21002
"379" 1 4 2 4 "Deaths" 8 18881
"380" 2 4 2 4 "Deaths" 4 19828
"381" 1 5 2 4 "Deaths" 5 9072
"382" 2 5 2 4 "Deaths" 6 12972
"383" 1 6 2 4 "Deaths" 4 3376
"384" 2 6 2 4 "Deaths" 6 6897
"385" 1 1 3 4 "Deaths" 17 105203
"386" 2 1 3 4 "Deaths" 17 99075
"387" 1 2 3 4 "Deaths" 7 26744
"388" 2 2 3 4 "Deaths" 6 24433
"389" 1 3 3 4 "Deaths" 5 21621
"390" 2 3 3 4 "Deaths" 5 20668
"391" 1 4 3 4 "Deaths" 10 19441
"392" 2 4 3 4 "Deaths" 5 20464
"393" 1 5 3 4 "Deaths" 9 10058
"394" 2 5 3 4 "Deaths" 5 13770
"395" 1 6 3 4 "Deaths" 4 3665
"396" 2 6 3 4 "Deaths" 5 7657
"397" 1 1 4 4 "Deaths" 16 101498
"398" 2 1 4 4 "Deaths" 16 95667
"399" 1 2 4 4 "Deaths" 4 27087
"400" 2 2 4 4 "Deaths" 5 24800
"401" 1 3 4 4 "Deaths" 6 21432
"402" 2 3 4 4 "Deaths" 5 20334
"403" 1 4 4 4 "Deaths" 11 20001
"404" 2 4 4 4 "Deaths" 10 21100
"405" 1 5 4 4 "Deaths" 6 11044
"406" 2 5 4 4 "Deaths" 6 14568
"407" 1 6 4 4 "Deaths" 6 3954
"408" 2 6 4 4 "Deaths" 6 8417
"409" 1 1 5 4 "Deaths" 16 98240
"410" 2 1 5 4 "Deaths" 16 92402
"411" 1 2 5 4 "Deaths" 8 27337
"412" 2 2 5 4 "Deaths" 4 25371
"413" 1 3 5 4 "Deaths" 7 22455
"414" 2 3 5 4 "Deaths" 5 21150
"415" 1 4 5 4 "Deaths" 9 19582
"416" 2 4 5 4 "Deaths" 7 20596
"417" 1 5 5 4 "Deaths" 8 12044
"418" 2 5 5 4 "Deaths" 5 15584
"419" 1 6 5 4 "Deaths" 4 4288
"420" 2 6 5 4 "Deaths" 7 8971
"421" 1 1 6 4 "Deaths" 18 95162
"422" 2 1 6 4 "Deaths" 17 89182
"423" 1 2 6 4 "Deaths" 6 27557
"424" 2 2 6 4 "Deaths" 5 26013
"425" 1 3 6 4 "Deaths" 8 23881
"426" 2 3 6 4 "Deaths" 5 22368
"427" 1 4 6 4 "Deaths" 8 18822
"428" 2 4 6 4 "Deaths" 8 19690
"429" 1 5 6 4 "Deaths" 6 13052
"430" 2 5 6 4 "Deaths" 8 16680
"431" 1 6 6 4 "Deaths" 5 4626
"432" 2 6 6 4 "Deaths" 4 9463
"433" 1 1 7 4 "Deaths" 17 92403
"434" 2 1 7 4 "Deaths" 18 86297
"435" 1 2 7 4 "Deaths" 5 27902
"436" 2 2 7 4 "Deaths" 4 26682
"437" 1 3 7 4 "Deaths" 9 25020
"438" 2 3 7 4 "Deaths" 9 23356
"439" 1 4 7 4 "Deaths" 9 18303
"440" 2 4 7 4 "Deaths" 7 19008
"441" 1 5 7 4 "Deaths" 6 13929
"442" 2 5 7 4 "Deaths" 12 17617
"443" 1 6 7 4 "Deaths" 5 5033
"444" 2 6 7 4 "Deaths" 11 10082
"481" 1 1 1 5 "Deaths" 16 67749
"482" 2 1 1 5 "Deaths" 17 62814
"483" 1 2 1 5 "Deaths" 4 14811
"484" 2 2 1 5 "Deaths" 5 13664
"485" 1 3 1 5 "Deaths" 6 14171
"486" 2 3 1 5 "Deaths" 4 12911
"487" 1 4 1 5 "Deaths" 5 10516
"488" 2 4 1 5 "Deaths" 7 10852
"489" 1 5 1 5 "Deaths" 5 4858
"490" 2 5 1 5 "Deaths" 5 7186
"491" 1 6 1 5 "Deaths" 4 1901
"492" 2 6 1 5 "Deaths" 4 3734
"493" 1 1 2 5 "Deaths" 16 65061
"494" 2 1 2 5 "Deaths" 16 60449
"495" 1 2 2 5 "Deaths" 5 15284
"496" 2 2 2 5 "Deaths" 4 14024
"497" 1 3 2 5 "Deaths" 5 13675
"498" 2 3 2 5 "Deaths" 4 12528
"499" 1 4 2 5 "Deaths" 9 11312
"500" 2 4 2 5 "Deaths" 6 11448
"501" 1 5 2 5 "Deaths" 6 5125
"502" 2 5 2 5 "Deaths" 4 7445
"503" 1 6 2 5 "Deaths" 5 2074
"504" 2 6 2 5 "Deaths" 5 4122
"505" 1 1 3 5 "Deaths" 17 62739
"506" 2 1 3 5 "Deaths" 17 58392
"507" 1 2 3 5 "Deaths" 5 15614
"508" 2 2 3 5 "Deaths" 5 14212
"509" 1 3 3 5 "Deaths" 5 13253
"510" 2 3 3 5 "Deaths" 4 12338
"511" 1 4 3 5 "Deaths" 7 11830
"512" 2 4 3 5 "Deaths" 4 11839
"513" 1 5 3 5 "Deaths" 4 5688
"514" 2 5 3 5 "Deaths" 5 7818
"515" 1 6 3 5 "Deaths" 5 2183
"516" 2 6 3 5 "Deaths" 4 4504
"517" 1 1 4 5 "Deaths" 17 60417
"518" 2 1 4 5 "Deaths" 18 56335
"519" 1 2 4 5 "Deaths" 6 15944
"520" 2 2 4 5 "Deaths" 4 14400
